prod_notif_no,prod_name,holder_name,prod_status_date,prod_status_type,prod_brand,prod_category,banned_substances,holders_id
NOT221105281K,BITE BEAUTY - POWER MOVE CREAMY MATTE LIP CRAYON - RED VELVET,BEAUTY IN MOTION SDN. BHD.,18-11-22,Clear,BITE,Moisturizer,,255
NOT220806169K,M.A.C POWDER KISS SOFT MATTE EYE SHADOW - ROSE TO THE OCCASION (SK3738),ESTEE LAUDER MALAYSIA SDN. BHD.,26-08-22,Clear,M.A.C,Eye,,636
NOT221108453K,SHISEIDO PROFESSIONAL - PRIMIENCE ER 5,HENKEL (MALAYSIA) SDN. BHD.,30-11-22,Clear,SHISEIDO,Other,,861
NOT201106397K,Kate Blanc Argan Oil,Monoliving Sdn Bhd,26-11-22,Clear,Kate,Other,,1394
NOT220900229K,Tisserand Eucalyptus Ethically Harvested Pure Essential Oil,EIG DERMAL WELLNESS (M) SDN. BHD.,01-09-22,Clear,Tisserand,Other,,587
NOT181100233K,LUXURY HAIR COLOR PERMANENT COLORING CREAM -Extra Dark Cocoa 4.35,GOLDEN VIVA HAIR VERSION,01-11-22,Clear,LUXURY,Moisturizer,,781
NOT220803188K,Monte & Wilde Sandalwood & Tobacco Eau De Toilette,LITTLES (MALAYSIA) SDN BHD,12-08-22,Clear,Monte,Foundation,,1156
NOT221000856K,ZAEM'S HAIR ESSENCE LAB,ZAEMS LAB ENTERPRISE,05-10-22,Clear,ZAEM'S,Other,,2204
NOT221107519K,OFRA - HIGHLIGHTER - BLISSFUL,BEAUTY IN MOTION SDN. BHD.,26-11-22,Clear,OFRA,Other,,255
NOT221003619K,MILBON INDULGING HYDRATION NO.3,MILBON MALAYSIA SDN. BHD.,18-10-22,Clear,MILBON,Other,,1309
NOT221202391K,Nutox Youth Restoring Cleansing Foam (All Skin Types),TOHTONKU SDN. BHD.,11-12-22,Clear,Nutox,Other,,1983
NOT220806551K,MILLE LA PEINTURE BLUSHER 03 MON CHERI,INTERCOSMETIC ASIA PACIFIC SDN. BHD.,29-08-22,Clear,MILLE,Other,,940
NOT221200388K,LAURA MERCIER SECRET CAMOUFLAGE BRIGHTEN & CORRECT DUO 0.5N CORRECT CAMOUFLER,LUXASIA (M) SDN. BHD.,01-12-22,Clear,LAURA,Other,,1187
NOT220707873K,Hug Body Lotion Jasmine,Techo Marketing Sdn. Bhd.,25-07-22,Clear,Hug,Moisturizer,,2022
NOT221003651K,ESTEE BEAUTY DOUBLE REPAIR SERUM,NS AESTHETIC BEAUTY CENTRE,18-10-22,Clear,ESTEE,Serum,,1463
NOT220802791K,La Peau FRANCE Hydra Infuse Face Wash,SKCC BEAUTY INTERNATIONAL SDN BHD,10-08-22,Clear,La,Cleanser,,1804
NOT220900461K,IMMERSE LUTIN MASK,IMMERSE ENTERPRISE,02-09-22,Clear,IMMERSE,Mask,,921
NOT200900461K,Hygienix Anti-Bacterial Skin Wipes,WIPRO UNZA (MALAYSIA) SDN. BHD.,02-09-22,Clear,Hygienix,Other,,2143
NOT200803368K,Visha Beauty Care Organic Henna Hair Pack,VISHA BEAUTY CARE,13-08-22,Clear,Visha,Perfume,,2099
NOT200902929K,GUERLAIN ABEILLE ROYALE GOLD EYETECH SERUM SCULPTEUR REGARD EYE SCULPT SERUM,L BEAUTY SDN. BHD.,10-09-22,Clear,GUERLAIN,Serum,,1098
NOT221201326K,WILD WEST AMERICAN ALOE TREATMENT POWDER,MILAE MARKETING,06-12-22,Clear,WILD,Other,,1308
NOT160907678K,Petal Fresh Pure Softening Shampoo Rose & Honeysuckle 12oz,Lureen Sdn. Bhd.,30-09-22,Clear,Petal,Other,,1210
NOT141201339K,Loreal Professionnel Serioxyl Black Youth CX Scalp Solution For Thinning Hair Lotion,LOREAL MALAYSIA SDN. BHD.,05-12-22,Clear,Loreal,Moisturizer,,1166
NOT221102214K,TARTE - MARACUJA JUICY GLOW FOUNDATION - 53N DEEP NEUTRAL,BEAUTY IN MOTION SDN. BHD.,10-11-22,Clear,TARTE,Foundation,,255
NOT220902897K,ANASTASIA BEVERLY HILLS - MODERN RENAISSANCE EYE SHADOW PALETTE - BURNT ORANGE,PREMIUM PRIORITY SDN BHD,13-09-22,Clear,ANASTASIA,Eye,,1606
NOT181106211K,Urban Decay Brow Blade - Neutral Nana (Waterproof Pencil),LOREAL MALAYSIA SDN. BHD.,26-11-22,Clear,Urban,Pencil,,1166
NOT221200407K,AGNESIA beau care powder - LAVENDER,APEX PHARMACY MARKETING SDN. BHD.,01-12-22,Clear,AGNESIA,Perfume,,122
NOT221104464K,REVLON COLORSTAY LOOKS BOOK EYE SHADOW PALETTES - 920 Enigmna - Shade 1,X ELITE PREMIUM BEAUTY SDN. BHD.,15-11-22,Clear,REVLON,Eye,,2168
NOT220802184K,Eau Thermale Avene Extremely Gentle Cleanser Lotion.,ALLIANCE COSMETICS SDN. BHD.,08-08-22,Clear,Eau,Moisturizer,,81
NOT180804017K,UNITED COLORS OF BENETTON UNITED DREAMS DREAM BIG 24H DEODORANT BODY SPRAY FOR MEN,PUIG MALAYSIA SDN. BHD.,15-08-22,Clear,UNITED,Spray,,1624
NOT221204864K,SR Beauty Masque Vitamin C Rubber Mask,P & Q Marketing (M) Sdn. Bhd.,19-12-22,Clear,SR,Mask,,1549
NOT220803791K,CHANEL ROUGE ALLURE Luminious Intense Lip Colour - 94 Extatique,CHANEL (KUALA LUMPUR) SDN. BHD.,16-08-22,Clear,CHANEL,Lip,,390
NOT201002776K,WYCON PARTY CHEEKS FACE PALETTE 01 TEA TIME BLUSH 02,ANAIKA COLLECTIONS SDN BHD,12-10-22,Clear,WYCON,Other,,103
NOT220905299K,HOURGLASS - CONFESSION ULTRA SLIM HIGH INTENSITY REFILLABLE LIPSTICK - I CAN'T WAIT #238,BEAUTY IN MOTION SDN. BHD.,26-09-22,Clear,HOURGLASS,Lip,,255
NOT220903184K,MISTEE BLOOM PAIX,Sophia Taha Holdings Sdn Bhd,15-09-22,Clear,MISTEE,Spray,,1929
NOT220708588K,COLOUR ME FEMME PURPLE EDP,KRIDVIK PLT,28-07-22,Clear,COLOUR,Other,,1077
NOT220805102K,BRITISH GRAPHIC HAIR COLOR CREAM - 5/33,UNICE MARKETING SDN. BHD.,22-08-22,Clear,BRITISH,Moisturizer,,2061
NOT201005334K,Artistry Skin Nutrition Micellar Make Up Remover + Cleanser,AMWAY (MALAYSIA) SDN. BHD.,20-10-22,Clear,Artistry,Cleanser,,101
NOT200907995K,HH Oat Liquid Baby Powder,FLOOBOXES SDN. BHD.,28-09-22,Clear,HH,Other,,700
NOT200804306K,MAINICHI Plus Pure VC,MANDOM (MALAYSIA) SDN. BHD.,17-08-22,Clear,MAINICHI,Other,,1242
NOT221205174K,Face Republic Shine Me Time Rice Mask,INTERCLE MALAYSIA SDN. BHD.,20-12-22,Clear,Face,Mask,,939
NOT221001967K,CARYA SIMPLY BEAUTY MAKEUP KIT TRUFFLE DARING - EYESHADOW 1,NMF CONSULTANT SDN BHD,11-10-22,Clear,CARYA,Eye,,1448
NOT220904762K,ROSYVELLE BODY INSTANT BRIGHT SCRUB,B-BEAUTY HOLDINGS SDN. BHD.,22-09-22,Clear,ROSYVELLE,Other,,226
NOT221106302K,The history of Whoo Gongjinhyang: Mi Luxury Lip Rouge No.45 Royal Red,LG HOUSEHOLD & HEALTH CARE MALAYSIA SDN. BHD.,22-11-22,Clear,The,Lip,,1141
NOT181106469K,DXN Shiitake E UV Defense Day Cream,DXN INDUSTRIES (M) SDN. BHD.,27-11-22,Clear,DXN,Sunscreen,,543
NOT201002904K,"Davines MASK with VIBRACHROM 5,4",EIG Haircare Sdn Bhd,12-10-22,Clear,Davines,Mask,,588
NOT220802640K,Artdeco Kajal Liner N2,HONG KONG SA SA (M) SDN. BHD.,10-08-22,Clear,Artdeco,Other,,880
NOT201005920K,Kasumi Intensive Repair Treatment Essence,MAPLE BEAUTY WORLD,22-10-22,Clear,Kasumi,Other,,1243
NOT221104269K,REVLON ILLUMINANCE SKIN-CARING FOUNDATION - 505 Rich Sand,X ELITE PREMIUM BEAUTY SDN. BHD.,15-11-22,Clear,REVLON,Foundation,,2168
NOT221002895K,Dr. Chen Youth Emulsion.,SUNRIDER INTERNATIONAL (MALAYSIA) SDN. BHD.,14-10-22,Clear,Dr.,Other,,1886
NOT201201760K,OFFICINA ARTIGIANA Shaving Soap,PTSH SURVIVAL MART,08-12-22,Clear,OFFICINA,Other,,1623
NOT201105443K,LANCOME PARIS RENERGIE MULTI-LIFT ULTRA FULL SPECTRUM SERUM INSTANT MELTING CREAM,LUXEPHASE SDN.BHD.,23-11-22,Clear,LANCOME,Serum,,1189
NOT221107054K,Victoria's Secret Whipped Body Polish Tease Sugar Fleur,ENVICO ENTERPRISES SDN. BHD.,24-11-22,Clear,Victoria's,Other,,618
NOT220901039K,SHISEIDO PROFESSIONAL - PRIMIENCE ENRICH VB 10n,HENKEL (MALAYSIA) SDN. BHD.,06-09-22,Clear,SHISEIDO,Other,,861
NOT201002093K,FARCOM - MEA NATURA PERMANENT HAIR COLOR CREAM - (6.782) CHOCOLATE BROWN - HAIR COLOR CREAM,Kimma Sdn Bhd,08-10-22,Clear,FARCOM,Moisturizer,,1092
NOT220803110K,STILA - TINTED MOISTURIZER SKIN BALM - SHADE 7.0,BEAUTY IN MOTION SDN. BHD.,12-08-22,Clear,STILA,Moisturizer,,255
NOT220906648K,AMUSE - EYE VEGAN SHEER PALETTE - (03) SHEER PEACH - A,BEAUTY IN MOTION SDN. BHD.,30-09-22,Clear,AMUSE,Eye,,255
NOT201001168K,Lancome Absolue Sublime Rejuvenating Essence Foundation SPF 20 / PA+++ - 130-Ivoire-0,LOREAL MALAYSIA SDN. BHD.,06-10-22,Clear,Lancome,Sunscreen,,1166
NOT101103102K,SOFEI CURL ENERGY FLUID,EVERGREEN HAIR & BEAUTY SDN. BHD.,19-11-22,Clear,SOFEI,Other,,648
NOT181105289K,Shu Uemura Rouge Unlimited - PK 347,LOREAL MALAYSIA SDN. BHD.,22-11-22,Clear,Shu,Other,,1166
NOT220803466K,Mothercare Hand and Face Wipes,KIM HIN JOO (MALAYSIA) BERHAD,14-08-22,Clear,Mothercare,Other,,1056
NOT221003118K,UROOT Hair Conditioner,Luchin Corporation Sdn Bhd,16-10-22,Clear,UROOT,Other,,1208
NOT200908081K,BEAUTY COTTAGE Wrinkles Smoothing Serum,Q & Z COSMETICS MANUFACTURING SDN. BHD.,28-09-22,Clear,BEAUTY,Serum,,1647
NOT221003432K,Wetty Wipes Sea Breeze,WLS Global Supply Sdn Bhd,17-10-22,Clear,Wetty,Other,,2148
NOT221104992K,LUNASOL SKIN MODELING EYES 01 (C),KANEBO COSMETICS MALAYSIA SDN BHD,17-11-22,Clear,LUNASOL,Eye,,1032
NOT221005817K,PETER THOMAS ROTH WATER DRENCH HYALURONIC CLOUD RICH BARRIER MOISTURIZER,LUXASIA (M) SDN. BHD.,28-10-22,Clear,PETER,Moisturizer,,1187
NOT220900427K,LA'DERM - ALOE VERA GEL MASK,FRANEVYNS BEAUTE INTERNATIONAL SDN.BHD.,02-09-22,Clear,LA'DERM,Mask,,708
NOT221106372K,BioThik Hair Building Fiber - Wheat Blond,T-Biomax Sdn. Bhd.,23-11-22,Clear,BioThik,Other,,1944
NOT221102087K,VISEART - (VPP07) PETIT PRO MIDSOMMER - 8 SHADE PROFESSIONAL EYE SHADOW PALETTE - SHADE 2 (CUPIDON),BEAUTY IN MOTION SDN. BHD.,10-11-22,Clear,VISEART,Eye,,255
NOT220800246K,Pupa Yummy Cream Foaming Face Cleanser Makeup Remover N001,HONG KONG SA SA (M) SDN. BHD.,01-08-22,Clear,Pupa,Moisturizer,,880
NOT220903598K,BOBBI BROWN INTENSIVE SKIN SERUM RADIANCE EMULSION (ENKX00),ESTEE LAUDER MALAYSIA SDN. BHD.,15-09-22,Clear,BOBBI,Serum,,636
NOT221106737K,LAURA MERCIER ROUGE ESSENTIEL SILKY CREME LIPSTICK - ROUGE PROFOND,LUXASIA (M) SDN. BHD.,23-11-22,Clear,LAURA,Lip,,1187
NOT221106589K,LAURA MERCIER CAVIAR STICK EYE COLOR - MAGNETIC PINK,LUXASIA (M) SDN. BHD.,23-11-22,Clear,LAURA,Eye,,1187
NOT221106479K,IOMA Vitality Sleeping Mask,HAP GLOBAL SDN. BHD.,23-11-22,Clear,IOMA,Mask,,830
NOT180906391K,INIMITABLE COLOR HAIR CREAM NO.5.56,PCQ Hair & Beauty Products Sdn. Bhd.,26-09-22,Clear,INIMITABLE,Moisturizer,,1562
NOT221200272K,LAURA MERCIER TINTED MOISTURIZER NATURAL SKIN PERFECTOR SPF 30 UVB/UVA/PA+++ 2N1 NUDE,LUXASIA (M) SDN. BHD.,01-12-22,Clear,LAURA,Sunscreen,,1187
NOT220803386K,PAT MCGRATH LABS - MATTETRANCE LIPSTICK - (003) ELSON.,BEAUTY IN MOTION SDN. BHD.,13-08-22,Clear,PAT,Lip,,255
NOT181100357K,BIO-OIL DRY SKIN GEL,NUVANTA SDN. BHD.,02-11-22,Clear,BIO-OIL,Other,,1479
NOT201103917K,FIOLE BL COLOR 2NN,R BEAUTE SDN. BHD.,17-11-22,Clear,FIOLE,Other,,1668
NOT220805870K,SCRUB INSTANT WHITENING by NHS,EVONIZ COSMETIC INDUSTRIES,25-08-22,Clear,SCRUB,Other,,650
NOT220903219K,BI-ES Blossom Avenue Body Lotion,Shins International Sdn Bhd,15-09-22,Clear,BI-ES,Moisturizer,,1919
NOT221107807K,KATE SLIM CREATE CHEEKS RD-1 (B),KANEBO COSMETICS MALAYSIA SDN BHD,29-11-22,Clear,KATE,Other,,1032
NOT200905189K,pHformula FOAM Cleanse,PARVUS SDN. BHD.,18-09-22,Clear,pHformula,Other,,1559
NOT181001816K,JKS GABA Ultimate Ultimate Lifting Eye Cream,ESSENTIAL IMAGE SDN. BHD.,04-10-22,Clear,JKS,Moisturizer,,634
NOT220804491K,NUDESTIX - NUDESKIN - CITRUS-C MASK & DAILY MOISTURIZER,BEAUTY IN MOTION SDN. BHD.,19-08-22,Clear,NUDESTIX,Moisturizer,,255
NOT201204868K,NARQES SKINTELLIGENT SKIN RENEWAL SERUM,NARQES BEAUTY MALAYSIA SDN BHD,21-12-22,Clear,NARQES,Serum,,1412
NOT201000949K,RAHUA COLOR FULL SHAMPOO,KENS AVENUE SDN. BHD.,05-10-22,Clear,RAHUA,Other,,1047
NOT201201659K,INAIDAMIA INAI SERBUK,INAIDAMIA SDN. BHD.,08-12-22,Clear,INAIDAMIA,Other,,925
NOT221107126K,DR. WU - VITAMIN A DEEP HYDRATING CAPSULE MASK,BEAUTY EDGE SDN. BHD.,25-11-22,Clear,DR.,Mask,,251
NOT220806456K,Bernard Cassiere - DIAMOND PREMIUM ANTI-AGEING TREATMENT Diamond Peeling 2/8,Casseree France Sdn Bhd,29-08-22,Clear,Bernard,Other,,449
NOT201103411K,Solanie Vita White Vitamin C Serum,CARELLA BEAUTY PARLOUR,14-11-22,Clear,Solanie,Serum,,367
NOT201203104K,REUZEL Beard Foam,Shins Corporation Sdn. Bhd.,14-12-22,Clear,REUZEL,Other,,1918
NOT200802690K,VIAN LA BEAUTE ULTRA GLOW OIL SERUM,CRYSTALLITE TRADING,12-08-22,Clear,VIAN,Serum,,436
NOT221200990K,OUJIASHI COLOR CREAM - 8/33,GENESIS REVELATION PRODUCTS SDN BHD,05-12-22,Clear,OUJIASHI,Moisturizer,,750
NOT220902369K,NIEMIE Facial Toner,JENAMA PRODUK ANDA WORLDWIDE,12-09-22,Clear,NIEMIE,Toner,,983
NOT221000425K,doTERRA Touch ZenGest Essential Oil Blend,DOTERRA MALAYSIA SDN. BHD.,04-10-22,Clear,doTERRA,Other,,528
NOT220904824K,WHERTEIMAR LES DELICATS PREMIUM MASQUE CREME JEUNESSE ABSOLUE - ABSOLUTE YOUTH CREAM MASK,Deacon Medical Sdn Bhd,22-09-22,Clear,WHERTEIMAR,Moisturizer,,552
NOT220708087K,GOLDEN ROSE PRODIGY GEL-Gel Colour (07),MAGIC BOO BEAUTY SDN BHD,26-07-22,Clear,GOLDEN,Other,,1226
NOT220905274K,Glad2Glow Shea & Pome Daily Exfoliating Body Scrub,MY FIMEDIA NETWORK TECHNOLOGY SDN. BHD.,25-09-22,Clear,Glad2Glow,Other,,1364
NOT221005630K,Bath & Body Works Sparkling Body Scrub You're The One,ENVICO ENTERPRISES SDN. BHD.,27-10-22,Clear,Bath,Other,,618
NOT201003885K,BON PARFUMEUR EAU DE PARFUM 301,Aura Indah Jaya Sdn Bhd,15-10-22,Clear,BON,Perfume,,220
NOT221100294K,INGLOT OUTLINE EYE PENCIL 95,Cosmos Beauty Sdn. Bhd.,02-11-22,Clear,INGLOT,Eye,,460
NOT180904110K,Avon Kyoto Flower Haiku Roll-On Anti-Perspirant Deodorant,AVON COSMETICS (MALAYSIA) SENDIRIAN BERHAD,19-09-22,Clear,Avon,Other,,181
NOT221001841K,A. RISA TREE-LEAF FOLLI-ACTIVE TONIC ESSENCE,INNOVATIVE TRADING,10-10-22,Clear,A.,Other,,934
NOT201004487K,AVA+ Restore Peptides Liquid,Kiseki Marketing Sdn Bhd,16-10-22,Clear,AVA+,Other,,1095
NOT220708213K,AYUR-V NOURISHING HAIR & SCALP OIL,AYUR V AYURVEDIC HAIR & BEAUTY CARE,27-07-22,Clear,AYUR-V,Other,,187
NOT220904273K,MERVEILLEUX HYDRO SOOTHING GEL MASK,BELLESENZE MARKETING,20-09-22,Clear,MERVEILLEUX,Mask,,271
NOT221101275K,SANNO TINTED SUNSCREEN - NATURAL,SKIN SANNO ENTERPRISE,07-11-22,Clear,SANNO,Sunscreen,,1811
NOT220903379K,RITUALS THE RITUAL OF NAMASTE HYDRATE Hydrating Bio-Cellulose Sheet Mask,RITUALS COSMETICS MALAYSIA SDN. BHD.,15-09-22,Clear,RITUALS,Mask,,1698
NOT181205649K,WYCON PHOTOSHOP FOUNDATION NW20,ANAIKA COLLECTIONS SDN BHD,20-12-22,Clear,WYCON,Foundation,,103
NOT200902765K,Dermalogica Active Moist,EIG DERMAL WELLNESS (M) SDN. BHD.,09-09-22,Clear,Dermalogica,Moisturizer,,587
NOT221201627K,DOLCE & GABBANA EAU DE PARFUM (Ref Code: I40100310000),LUXASIA (M) SDN. BHD.,07-12-22,Clear,DOLCE,Foundation,,1187
NOT221204652K,DR.BELMEUR Clarifying Balancing Water Cream,LG HOUSEHOLD & HEALTH CARE MALAYSIA SDN. BHD.,19-12-22,Clear,DR.BELMEUR,Moisturizer,,1141
NOT221006394K,Hamel Vegan Aqua Glow Zero Fit Cushion #1,SUMMER FREAL ENTERPRISE,31-10-22,Clear,Hamel,Foundation,,1878
NOT221104838K,FARMASI CHEER EDP FOR WOMEN,FAR COSMETICS SDN. BHD,16-11-22,Clear,FARMASI,Other,,677
NOT220710099K,BIOLINE JATO AGE BEAUTY SECRET THE CREAM EYE/LIP,Sprive Global PLT,29-07-22,Clear,BIOLINE,Moisturizer,,1933
NOT221200614K,Kyoto Uji Matcha Face Mask,Pan Pacific Retail Management (Malaysia) Sdn. Bhd.,02-12-22,Clear,Kyoto,Mask,,1633
NOT201105842K,Shurah Semburan Badan Wangi -  Murni,JETAINE CORPORATION SDN. BHD.,24-11-22,Clear,Shurah,Other,,986
NOT221003412K,TWOHERBS Ling Zhi Powder,TWO HERBS SDN. BHD.,17-10-22,Clear,TWOHERBS,Other,,2017
NOT221107568K,Cote d'Azur Elixir Eau de Parfum 30ml,SINCERITY GLOBAL VENTURES (MALAYSIA) SDN BHD,26-11-22,Clear,Cote,Perfume,,1795
NOT161203236K,Infinence Advanced Overnight Regeneration Cream,SAHAJIDAH HAI-O MARKETING SDN BHD,16-12-22,Clear,Infinence,Moisturizer,,1735
NOT220710353K,ETUDE PLAY COLOR EYES 01 JOYFUL TIGER - SUNRISE TRIP,LUXASIA (M) SDN. BHD.,29-07-22,Clear,ETUDE,Eye,,1187
NOT221205560K,Kiehls Creme de Corps Body Moisturizer,LUXEPHASE SDN.BHD.,20-12-22,Clear,Kiehls,Moisturizer,,1189
NOT221100774K,Lynan Perfume Shower Cream Love Mad,Way In Alliance (M) Sdn. Bhd.,04-11-22,Clear,Lynan,Moisturizer,,2160
NOT221006466K,PERFECT DIARY SPOTLIGHT SHINY MOIST SLIM LIPSTICK 2025,TIAN XING CLOUD SUPPLY CHAIN (MALAYSIA) SDN. BHD.,31-10-22,Clear,PERFECT,Moisturizer,,1978
NOT201008303K,Colour Creation Activator 6%,MACSAM SDN. BHD.,31-10-22,Clear,Colour,Other,,1219
NOT221100018K,Bioglo Spa Energy Facial Cleanser,Rank Distributors Sdn. Bhd.,01-11-22,Clear,Bioglo,Cleanser,,1724
NOT221105004K,Victoria's Secret Fine Fragrance Lotion Very Sexy Night,ENVICO ENTERPRISES SDN. BHD.,17-11-22,Clear,Victoria's,Moisturizer,,618
NOT220806130K,Bath & Body Works Cleansing Hand Gel Christmas Morning Mimosa,ENVICO ENTERPRISES SDN. BHD.,26-08-22,Clear,Bath,Other,,618
NOT200901496K,Anew Reversalist Perfecting Day Cream SPF 25 By Avon,AVON COSMETICS (MALAYSIA) SENDIRIAN BERHAD,04-09-22,Clear,Anew,Sunscreen,,181
NOT221100346K,BREYLEE VITAMIN C SERUM  FACIAL MASK,LANBENA SDN BHD,02-11-22,Clear,BREYLEE,Serum,,1118
NOT221205507K,PINK 24-Hour Moisture Body Lotion Sunshine Amber Fizzy Tangerine Bright Mimosa,ENVICO ENTERPRISES SDN. BHD.,20-12-22,Clear,PINK,Moisturizer,,618
NOT221203295K,M.A.C STUDIO FIX FLUID SPF15/PA++ SKIN BALANCING COMPLEX - NC14 (MYH213),ESTEE LAUDER MALAYSIA SDN. BHD.,14-12-22,Clear,M.A.C,Sunscreen,,636
NOT221006438K,PAT MCGRATH LABS - FETISHEYES LONGWEAR LIQUID EYE SHADOW - LUNA ROSE,BEAUTY IN MOTION SDN. BHD.,31-10-22,Clear,PAT,Eye,,255
NOT221107584K,Ratu Fermosa Ultra Glow Whitening Spray,Ratu Fermosa Enterprise,28-11-22,Clear,Ratu,Spray,,1725
NOT221106874K,ASEPSO SOAP-ALOE,Sweetyet Development Sdn. Bhd.,24-11-22,Clear,ASEPSO,Other,,1942
NOT221001329K,Minimalist Vitamin B5 10% Moisturizer,MINIMALIST SCIENCE SDN. BHD.,07-10-22,Clear,Minimalist,Moisturizer,,1312
NOT221004330K,SIMILDIET SUN CARE COLOR 50+ SPF NATURAL COVERAGE,MONARCH AESTHETIC SDN. BHD.,21-10-22,Clear,SIMILDIET,Sunscreen,,1342
NOT220904123K,Breeze hand cream- Ocean 30ml,SETIA-WOOD INDUSTRIES SDN. BHD.,19-09-22,Clear,Breeze,Moisturizer,,1767
NOT181102092K,SKINDEEP+ MAGIC V LIFT TIGHTENING CREAM,LADY SPRING BEAUTY SDN. BHD.,12-11-22,Clear,SKINDEEP+,Moisturizer,,1115
NOT220902974K,GUCCI RUSH EAU DE TOILETTE,COTY INT MALAYSIA SDN. BHD.,14-09-22,Clear,GUCCI,Foundation,,428
NOT221107442K,DEAR DAHLIA - LIP PARADISE INTENSE SATIN LIPSTICK - (808) MEGAN,BEAUTY IN MOTION SDN. BHD.,26-11-22,Clear,DEAR,Lip,,255
NOT221204391K,NATASHA MOOR - SILK SUEDE MATTE LIPSTICK - MUSE,BEAUTY IN MOTION SDN. BHD.,18-12-22,Clear,NATASHA,Lip,,255
NOT221201852K,FIOLE BL COLOR COPPERORANGE,R BEAUTE SDN. BHD.,08-12-22,Clear,FIOLE,Other,,1668
NOT221104596K,CANDY LIP POLISH BY LARVER KRASIVYY,LARVER KRASIVYY HM EMPIRE SDN. BHD.,16-11-22,Clear,CANDY,Lip,,1121
NOT221001618K,SHISEIDO PROFESSIONAL - PRIMIENCE P 5,HENKEL (MALAYSIA) SDN. BHD.,08-10-22,Clear,SHISEIDO,Other,,861
NOT221101381K,Dermal Mode Anti-Acne Soothing Serum,Vitamode  Sdn.bhd,07-11-22,Clear,Dermal,Serum,,2121
NOT221201646K,Babor Doctor Babor Pro BA Boswellia Concentrate,LUXOR BEAUTY WORLD SDN. BHD.,07-12-22,Clear,Babor,Other,,1190
NOT221001605K,SHISEIDO PROFESSIONAL - PRIMIENCE N 6,HENKEL (MALAYSIA) SDN. BHD.,08-10-22,Clear,SHISEIDO,Other,,861
NOT221101037K,MARINE ESSENCE Bamboo Salt Nourishing Body Wash (47009),SAHAJIDAH HAI-O MARKETING SDN BHD,05-11-22,Clear,MARINE,Cleanser,,1735
NOT221205570K,Geoderm Eyeliner Intense Black,NATURA ORGANICA SDN. BHD.,21-12-22,Clear,Geoderm,Eye,,1416
NOT201200135K,M.A.C MATTE LIPSTICK - 651 ACT NATURAL (M2LPAM),ESTEE LAUDER MALAYSIA SDN. BHD.,01-12-22,Clear,M.A.C,Lip,,636
NOT221205464K,THREE Solar Tinted Glow Flow 01,LMJ APOTHECARY SDN BHD,20-12-22,Clear,THREE,Other,,1162
NOT221101981K,SEPHORA - COLORFUL BLUSH - LA DOLCE VITA (N'46) - BACK,BEAUTY IN MOTION SDN. BHD.,10-11-22,Clear,SEPHORA,Other,,255
NOT220901038K,SHISEIDO PROFESSIONAL - PRIMIENCE ENRICH RB n,HENKEL (MALAYSIA) SDN. BHD.,06-09-22,Clear,SHISEIDO,Other,,861
NOT221103740K,Bath & Body Works Men's Collection 24 Hour Moisture Ultimate Hydration Body Cream Whiskey Reserve,ENVICO ENTERPRISES SDN. BHD.,14-11-22,Clear,Bath,Moisturizer,,618
NOT221203780K,EVE TAYLOR AROMATHERAPY  FESTIVITY BLEND,FRONT LINE COSMECEUTICAL (M) SDN. BHD.,15-12-22,Clear,EVE,Other,,715
NOT140904384K,Catrice Sun Glow Matt Bronzing Powder 030 Medium Bronze #73282,PROPHARM (M) SDN. BHD.,19-09-22,Clear,Catrice,Other,,1621
NOT221000038K,BODYOGRAPHY COCONUT MILK SERUM,RAMS HOME DECOR SDN BHD,01-10-22,Clear,BODYOGRAPHY,Serum,,1675
NOT221006154K,CHRISTOPHE ROBIN - NIGHT RECOVERY CREAM WITH WHITE LOTUS FLOWER - FORTIFIED AND SUPPLE HAIR,BEAUTY IN MOTION SDN. BHD.,30-10-22,Clear,CHRISTOPHE,Moisturizer,,255
NOT221000511K,Nunature Anti-Hair Fall Shampoo,Cyren Marketing Sdn Bhd,04-10-22,Clear,Nunature,Other,,462
NOT201205192K,Snake Brand Cooling Soap (Relaxing),Carepro Marketing Sdn. Bhd.,31-12-22,Clear,Snake,Other,,447
NOT221106966K,MENTHOLATUM REPAIR ONE (FRAGRANCE FREE),ROHTO-MENTHOLATUM (M) SDN. BHD.,24-11-22,Clear,MENTHOLATUM,Perfume,,1706
NOT201103494K,OWAY PURE BIODYNAMIC HELICHRYSUM,SECRET SOURCE SDN BHD,16-11-22,Clear,OWAY,Other,,1754
NOT221004542K,Fruiser UV White Hand & Body Lotion Spring,KHOBATES INDUSTRIES,21-10-22,Clear,Fruiser,Sunscreen,,1052
NOT201203601K,CareCella Dead Sea Salt,GCOOP MALAYSIA SDN. BHD.,16-12-22,Clear,CareCella,Other,,744
NOT201203933K,SMASHBOX GLOSS ANGELES LIP GLOSS - TRAFFIC JAM (C4HA05),ESTEE LAUDER MALAYSIA SDN. BHD.,17-12-22,Clear,SMASHBOX,Lip,,636
NOT220904052K,MAHSURI GOLD BALM,LIEZA ANGGUN ENTERPRISE,19-09-22,Clear,MAHSURI,Other,,1143
NOT201201104K,Naturals by Watsons  Argan Hair Oil,HOUSE OF CLASSICS (M) SDN. BHD.,06-12-22,Clear,Naturals,Other,,884
